School,2022,2019,Change,Town,Population,Is Rural
South Smiths Station Elementary School,89,83,,Smiths Station,5381,
Clark-Shaw Magnet School,89,99,,Mobile,184952,
Muscle Shoals Middle School,89,93,,Muscle Shoals,16618,
Oneonta Elementary School,89,90,,Oneonta,6805,
Pike Road Intermediate School,89,83,,Pike Road,9978,
Saraland High School,89,89,,Saraland,16319,
Chelsea Middle School,89,92,,Chelsea,15653,
Oak Mountain Middle School,89,92,,Birmingham,197575,
Shelby Elementary School,89,87,,Shelby,,
Thompson Intermediate School,88,87,,Alabaster,33676,
Arab Junior High School,88,93,,Arab,8498,
Baldwin County Elementary Virtual School,88,,,Daphne,28777,
Elberta Middle School,88,,,Elberta,2015,
J Larry Newton School,88,89,,Fairhope,23147,
Stapleton School,88,91,,Stapleton,,
Woodstock Elementary School,88,80,,Woodstock,1582,
Hayden Elementary School,88,90,,Hayden,1332,
Hayden Primary School,88,89,,Hayden,1332,
Brewton Middle School,88,90,,Brewton,5261,
Alexandria Elementary School,88,90,,Alexandria,,
Ohatchee Elementary School,88,91,,Ohatchee,1191,
Ohatchee High School,88,81,,Ohatchee,1191,
New Bethel Elementary School,88,86,,Tuscumbia,9068,
West Point Elementary School,88,92,,Good Hope,2548,
West Point Middle School,88,83,,Cullman,18635,
Highlands Elementary School,88,94,,Dothan,71175,
Glencoe Elementary School,88,83,,Gadsden,33769,
Geneva County High School,88,86,,Hartford,2651,
Slocomb Middle School,88,90,,Slocomb,2094,
Hartselle High School,88,94,,Hartselle,15549,
Hartselle Intermediate School,88,92,,Hartselle,15549,
Hartselle Junior High School,88,92,,Hartselle,15549,
Farley Elementary School,88,89,,Huntsville,216963,
Jones Valley Elementary School,88,88,,Huntsville,216963,
Mountain Gap Elementary School,88,,,Huntsville,216963,
Dutton Elementary School,88,89,,Dutton,333,
Kitty Stone Elementary School,88,92,,Jacksonville,13057,
Oak Grove High School,88,84,,Bessemer,25615,
South Lamar School,88,92,,Millport,982,
Sulligent School,88,88,,Sulligent,1838,
East Limestone High School,88,88,,Athens,27027,
Monrovia Middle School,88,86,,Huntsville,216963,
New Market School,88,84,,New Market,,
Hamilton Elementary School,88,92,,Hamilton,6991,
Mary B Austin Elementary School,88,80,,Mobile,184952,
Danville-Neel Elementary School,88,89,,Danville,,
Priceville Junior High School,88,90,,Decatur,57804,
Oneonta Middle School,88,89,,Oneonta,6805,
CE Hanna School,88,82,,Oxford,22312,
Horseshoe Bend High School,88,86,,New Site,772,
Hewitt-Trussville Middle School,88,93,,Trussville,26388,
Athens Intermediate School,87,79,,Athens,27027,
Auburn High School,87,93,,Auburn,78564,
Pine Level Elementary School,87,91,,Deatsville,1730,
Baldwin County Virtual School,87,90,,Daphne,28777,
Spanish Fort High School,87,88,,Spanish Fort,10392,
Boaz Intermediate School,87,83,,Boaz,9055,
Grove Hill Elementary School,87,84,,Grove Hill,1757,
Ranburne Elementary School,87,88,,Ranburne,420,
Ranburne High School,87,85,,Ranburne,420,
Zion Chapel High School,87,90,,Jack,,
Cold Springs Elementary School,87,86,,Bremen,,
West Point Intermediate School,87,90,,Vinemont,,
Frances Nungester Elementary School,87,88,,Decatur,57804,
Airport Road Intermediate School,87,88,,Coosada,1257,
Holtville Middle School,87,89,,Deatsville,1730,
Gaston Elementary School,87,,,Gadsden,33769,
Little Ridge Intermediate School,87,,,Fort Payne,14834,
Wills Valley Elementary School,87,82,,Fort Payne,14834,
Red Bay High School,87,87,,Red Bay,3184,
Headland Elementary School,87,85,,Headland,5145,
Cottonwood Elementary School,87,,,Cottonwood,1046,
Huntsville High School,87,89,,Huntsville,216963,
Mount Hope,87,73,,Mt Hope,,
