NAME,POPESTIMATE2021
Pinson city,7183
Pleasant Grove city,9495
Sumiton city (pt.),20
Sylvan Springs town,1631
Tarrant city,6005
Trafford town (pt.),608
Trussville city (pt.),24356
Vestavia Hills city (pt.),38771
Warrior city,3204
West Jefferson town,417
Balance of Jefferson County,110894
Lamar County,13689
Beaverton town,183
Detroit town,225
Kennedy town,427
Millport town,982
Sulligent city,1838
Vernon city,1874
Balance of Lamar County,8160
Lauderdale County,94043
Anderson town,256
Florence city,39933
Killen town,1040
Lexington town,737
Rogersville town,1336
St. Florian town,658
Waterloo town,184
Balance of Lauderdale County,49899
Lawrence County,33090
Courtland town,584
Hillsboro town,409
Moulton city,3358
North Courtland town,484
Town Creek town,1053
Trinity town (pt.),3
Balance of Lawrence County,27199
Lee County,177218
Auburn city,78564
Loachapoka town,161
Notasulga town (pt.),51
Opelika city,31538
Phenix City city (pt.),6716
Smiths Station city,5381
Waverly town (pt.),57
Balance of Lee County,54750
Limestone County,107517
Ardmore town,1370
Athens city,27027
Decatur city (pt.),59
Elkmont town,429
Huntsville city (pt.),4601
Lester town,112
Madison city (pt.),11791
Mooresville town,45
Balance of Limestone County,62083
Lowndes County,9965
Benton town,39
Fort Deposit town,1194
Gordonville town,239
Hayneville town,778
Lowndesboro town,84
Mosses town,814
White Hall town,785
Balance of Lowndes County,6032
Macon County,18895
Franklin town,583
Notasulga town (pt.),865
Shorter town,380
Tuskegee city,8870
Balance of Macon County,8197
Madison County,395211
Gurley town,825
Huntsville city (pt.),212359
Madison city (pt.),46566
New Hope city,2891
Owens Cross Roads town,2635
Triana town,3396
Balance of Madison County,126539
Marengo County,18996
Dayton town,28
Demopolis city,7009
Faunsdale town,83
Linden city,1887
Myrtlewood town,71
Providence town,166
Sweet Water town,225
Thomaston town,325
Balance of Marengo County,9202
Marion County,29246
Bear Creek town,1043
Brilliant town,833
Glen Allen town (pt.),53
Guin city,2172
Gu-Win town (pt.),142
Hackleburg town,1430
Haleyville city (pt.),59
Hamilton city,6991
Twin town,361
Winfield city (pt.),4105
Balance of Marion County,12057
Marshall County,98228
Albertville city,22522
Arab city (pt.),8470
Boaz city (pt.),9055
Douglas town,761
Grant town,1040
Guntersville city,8713
Sardis City town (pt.),6
Union Grove town,70
Balance of Marshall County,47591
Mobile County,413073
Bayou La Batre city,2182
Chickasaw city,6395
Citronelle city,3924
Creola city,1936
Dauphin Island town,1814
Mobile city,184952
Mount Vernon town,1362
Prichard city,19097
Saraland city,16319
Satsuma city,6785
Semmes city,5209
Balance of Mobile County,163098
Monroe County,19648
Beatrice town,203
Excel town,550
Frisco City town,1165
Monroeville city,5841
Vredenburgh town,223
Balance of Monroe County,11666
Montgomery County,227434
Montgomery city,198665
Pike Road town,9978
Balance of Montgomery County,18791
Morgan County,123668
Decatur city (pt.),57745
Eva town,589
Falkville town,1147
Hartselle city,15549
Huntsville city (pt.),3
Priceville town,3685
Somerville town,799
Trinity town (pt.),2539
Balance of Morgan County,41612
Perry County,8355
Marion city,3178
Uniontown town,2037
Balance of Perry County,3140
Pickens County,18801
Aliceville city,2123
Carrollton town,998
Ethelsville town,50
Gordo town,1612
McMullen town,28
Memphis town,25
Pickensville town,550
Reform town,1495
Balance of Pickens County,11920
Pike County,32991
Banks town,155
Brundidge city,2070
Goshen town,270
Troy city,17609
Balance of Pike County,12887
Randolph County,21989
Roanoke city,5279
Wadley town,597
Wedowee town,720
Woodland town,222
Balance of Randolph County,15171
Russell County,58722
Hurtsboro town,345
Phenix City city (pt.),31712
Balance of Russell County,26665
St. Clair County,92748
Argo town (pt.),4341
Ashville city,2347
Clay city (pt.),1
Leeds city (pt.),2089
Margaret town,5427
Moody city,13563
Odenville city,4999
Pell City city,13248
Ragland town,1707
Riverside city,2251
Springville city,4935
Steele town,1000
Trussville city (pt.),2032
Vincent town (pt.),0
Balance of St. Clair County,34808
Shelby County,226902
Alabaster city,33676
Birmingham city (pt.),1906
Calera city (pt.),17326
Chelsea city,15653
Columbiana city,4263
Harpersville town,1690
Helena city (pt.),19023
Hoover city (pt.),26868
Indian Springs Village city,2491
Leeds city (pt.),103
Montevallo city,7255
Pelham city,24688
Vestavia Hills city (pt.),30
Vincent town (pt.),1997
Westover town,1796
Wilsonville town,1873
Wilton town,592
Balance of Shelby County,65672
Sumter County,12164
Cuba town,306
Emelle town,33
Epes town,275
Gainesville town,174
Geiger town,156
Livingston city,3153
York city,2415
Balance of Sumter County,5652
Talladega County,81524
Bon Air town,168
Childersburg city,4689
Lincoln city,7082
Munford town,1333
Oak Grove town,553
Oxford city (pt.),4488
Sylacauga city,12373
Talladega city,15621
Talladega Springs town,145
Vincent town (pt.),0
Waldo town,253
Balance of Talladega County,34819
Tallapoosa County,41023
Alexander City city,14618
Camp Hill town,990
Dadeville city,2998
Daviston town,174
Goldville town,53
Jacksons' Gap town,753
New Site town,772
Tallassee city (pt.),1623
Waverly town (pt.),0
Balance of Tallapoosa County,19042
Tuscaloosa County,227007
Brookwood town,2473
Coaling town,2010
Coker town,888
Lake View town (pt.),3325
Moundville town (pt.),1260
Northport city,31009
Tuscaloosa city,100618
Vance town (pt.),2070
Woodstock town (pt.),138
Balance of Tuscaloosa County,83216
Walker County,64818
Carbon Hill city,1727
Cordova city,1681
Dora city,2290
Eldridge town,128
Jasper city,14354
Kansas town,179
Nauvoo town (pt.),184
Oakman town,762
Parrish town,980
Sipsey town,360
Sumiton city (pt.),2402
Balance of Walker County,39771
Washington County,15147
Chatom town,1039
McIntosh town,201
Millry town,443
Balance of Washington County,13464
Wilcox County,10446
Camden city,1832
Oak Hill town,14
Pine Apple town,139
Pine Hill town,756
Yellow Bluff town,209
Balance of Wilcox County,7496
Winston County,23652
Addison town,668
Arley town,330
Double Springs town,1076
Haleyville city (pt.),4292
Lynn town,617
Natural Bridge town,33
Nauvoo town (pt.),1
Balance of Winston County,16635
